LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.5293578807942325
Amygdala;DICE;STD;0.04524002205851362
GreyMatter;DICE;MEAN;0.7103407682180329
GreyMatter;DICE;STD;0.009554451929282365
Hippocampus;DICE;MEAN;0.5074017945406556
Hippocampus;DICE;STD;0.01729211288157671
Thalamus;DICE;MEAN;0.7466945843883814
Thalamus;DICE;STD;0.022086996056014607
WhiteMatter;DICE;MEAN;0.80809123644702
WhiteMatter;DICE;STD;0.024704982962347556
