SUBJECT;LABEL;DICE
117122;Amygdala;0.47211438310766024
117122;GreyMatter;0.7090463482544764
117122;Hippocampus;0.5391208720121616
117122;Thalamus;0.7650386791363584
117122;WhiteMatter;0.7919029089282869
117122-PP;Amygdala;0.47211438310766024
117122-PP;GreyMatter;0.7090463482544764
117122-PP;Hippocampus;0.5391208720121616
117122-PP;Thalamus;0.7650386791363584
117122-PP;WhiteMatter;0.7919029089282869
118528;Amygdala;0.4528945349134624
118528;GreyMatter;0.7059185471747499
118528;Hippocampus;0.5117989744691133
118528;Thalamus;0.7304914199824643
118528;WhiteMatter;0.8171811698756174
118528-PP;Amygdala;0.4528945349134624
118528-PP;GreyMatter;0.7059185471747499
118528-PP;Hippocampus;0.5117989744691133
118528-PP;Thalamus;0.7304914199824643
118528-PP;WhiteMatter;0.8171811698756174
118730;Amygdala;0.5573598742797276
118730;GreyMatter;0.7180668742204194
118730;Hippocampus;0.4767374405383455
118730;Thalamus;0.7273924495171202
118730;WhiteMatter;0.7898639272621834
118730-PP;Amygdala;0.5573598742797276
118730-PP;GreyMatter;0.7180668742204194
118730-PP;Hippocampus;0.4767374405383455
118730-PP;Thalamus;0.7273924495171202
118730-PP;WhiteMatter;0.7898639272621834
118932;Amygdala;0.5293852938529385
118932;GreyMatter;0.7231869932805665
118932;Hippocampus;0.49765285764581624
118932;Thalamus;0.7528774258590272
118932;WhiteMatter;0.8161909290358892
118932-PP;Amygdala;0.5293852938529385
118932-PP;GreyMatter;0.7231869932805665
118932-PP;Hippocampus;0.49765285764581624
118932-PP;Thalamus;0.7528774258590272
118932-PP;WhiteMatter;0.8161909290358892
120111;Amygdala;0.5004804612427931
120111;GreyMatter;0.704541970103488
120111;Hippocampus;0.5082419229155428
120111;Thalamus;0.7097027412258051
120111;WhiteMatter;0.8427742632880494
120111-PP;Amygdala;0.5004804612427931
120111-PP;GreyMatter;0.704541970103488
120111-PP;Hippocampus;0.5082419229155428
120111-PP;Thalamus;0.7097027412258051
120111-PP;WhiteMatter;0.8427742632880494
122317;Amygdala;0.558028324443627
122317;GreyMatter;0.7193187914249448
122317;Hippocampus;0.510862409479921
122317;Thalamus;0.746187620981068
122317;WhiteMatter;0.8166232961955066
122317-PP;Amygdala;0.558028324443627
122317-PP;GreyMatter;0.7193187914249448
122317-PP;Hippocampus;0.510862409479921
122317-PP;Thalamus;0.746187620981068
122317-PP;WhiteMatter;0.8166232961955066
122620;Amygdala;0.564960297347525
122620;GreyMatter;0.7237232979370686
122620;Hippocampus;0.4982347126112131
122620;Thalamus;0.755431126158387
122620;WhiteMatter;0.7995854773073454
122620-PP;Amygdala;0.564960297347525
122620-PP;GreyMatter;0.7237232979370686
122620-PP;Hippocampus;0.4982347126112131
122620-PP;Thalamus;0.755431126158387
122620-PP;WhiteMatter;0.7995854773073454
123117;Amygdala;0.5169667590027701
123117;GreyMatter;0.7029386498827107
123117;Hippocampus;0.5018694522932899
123117;Thalamus;0.726038085999283
123117;WhiteMatter;0.8368910384834957
123117-PP;Amygdala;0.5169667590027701
123117-PP;GreyMatter;0.7029386498827107
123117-PP;Hippocampus;0.5018694522932899
123117-PP;Thalamus;0.726038085999283
123117-PP;WhiteMatter;0.8368910384834957
123925;Amygdala;0.5256132443442836
123925;GreyMatter;0.7022346027591868
123925;Hippocampus;0.4961205568471471
123925;Thalamus;0.7675945543412137
123925;WhiteMatter;0.8174480208564666
123925-PP;Amygdala;0.5256132443442836
123925-PP;GreyMatter;0.7022346027591868
123925-PP;Hippocampus;0.4961205568471471
123925-PP;Thalamus;0.7675945543412137
123925-PP;WhiteMatter;0.8174480208564666
124422;Amygdala;0.6157756354075372
124422;GreyMatter;0.694431607142718
124422;Hippocampus;0.5333787465940054
124422;Thalamus;0.7861917406830876
124422;WhiteMatter;0.7524513332373595
124422-PP;Amygdala;0.6157756354075372
124422-PP;GreyMatter;0.694431607142718
124422-PP;Hippocampus;0.5333787465940054
124422-PP;Thalamus;0.7861917406830876
124422-PP;WhiteMatter;0.7524513332373595
